517	512	515	515	517	514	514	514	518	
477	475	476	476	479	479	476	475	477	
444	440	442	443	445	441	440	442	440	
402	407	404	404	404	404	407	404	406	
377	378	378	378	379	380	378	378	377	
358	357	356	356	357	356	356	356	355	
334	334	333	336	333	334	332	334	336	
313	315	318	318	314	315	314	315	314	
301	300	299	300	299	300	297	299	299	
280	282	280	280	282	279	280	279	284	
269	271	268	268	272	268	267	268	268	
245	245	247	244	246	244	245	240	246	
222	223	227	226	228	223	223	222	222	
210	210	208	210	208	204	210	209	208	
194	194	194	197	197	192	196	194	195	
182	181	182	184	180	184	184	180	184	
172	168	171	171	171	173	171	172	171	
159	158	157	157	159	162	158	157	158	
150	147	151	150	151	150	149	150	149	
143	142	144	141	142	144	142	142	143	
134	135	134	136	135	133	134	134	133	
127	127	126	125	126	124	126	126	125	
127	122	121	123	122	127	126	127	121	
118	114	118	115	115	114	115	111	119	
112	111	111	113	114	109	112	114	112	
108	109	109	108	108	105	106	106	106	
